seat,year,party,name,votes,votes_pc,winner
Dhaka-10,1996,Independent,Md. Abdul Khaleq,37,0.02,no
Dhaka-6,2001,BAKSAL,Md. Joynal Abedin,37,0.01,no
Dhaka-10,2001,Independent,Md. Delowar Hossain,37,0.02,no
Brahmanbaria-2,2001,Independent,Akhter Hossain,37,0.02,no
Chittagong-9,2001,Independent,M. A. Salam,37,0.01,no
Noakhali-3,1991,Independent,T. I. M. Nurunnabi,38,0.07,no
Dhaka-7,1996,Ganatantrik Sarbahara Party,Qazi Farid Ahmed,38,0.02,no
Narail-1,2001,JP (Manju),Ishtiaq Hossain Shikder,38,0.03,no
Dhaka-10,2001,BKSMA (Sadeq),Krishak Md. Sadeq,38,0.02,no
Dhaka-10,2001,Samridhya Bangladesh Andolan,Md. Zakir Hossain,38,0.02,no
Pirojpur-1,2008,Independent,Syed Shahidul Haque Jamal,38,0.02,no
Dhaka-9,1991,Bangladesh Bekar Samaj,Zahurul Alam,39,0.04,no
Noakhali-3,1991,NDP,Md. Jahurul Haq,39,0.08,no
Dhaka-8,1996,Bangladesh Muslim League,Md. Rashidul Islam,39,0.02,no
Dhaka-6,2001,Independent,Md. Jahangir Alam Babu,39,0.01,no
Comilla-3,2001,Independent,Syed Ahmmad Hossain Awal,39,0.02,no
Dhaka-9,1991,Pragotishi Jatiatabadi Dal (Nurul A Moula),Md. Mostafizur Rahman Mostafa,40,0.04,no
Dhaka-10,1991,Bangladesh National Congress,Shuvash Chandra Debnath,40,0.05,no
Gazipur-4,1996,Independent,Shihab Uddin Mahmud,40,0.03,no
Feni-2,1996,Independent,AFM Azizul Bari,40,0.03,no
Dhaka-6,2001,Independent,Md. Refatullah Bakul,40,0.01,no
Dhaka-7,2001,Independent,Md. Jahangir Alam,40,0.02,no
Jhenaidah-2,1996,FP,Anwarul Karim,41,0.02,no
Narail-1,1996,Jatiya Janata Party (Asad),Md. Ashiqul Alam,41,0.04,no
Feni-2,2001,Independent,Mosharaf Hossain Hazari Mia,41,0.02,no
Brahmanbaria-2,2014,JSD (Rab),Abu Bakr Mohammad Firoz,41,0.06,
Dhaka-6,1991,Bangladesh Muslim League,Md. Zinnat Ali,42,0.04,no
Dhaka-6,1996,NAP (Bhashani),Md. Saiful Islam,42,0.02,no
Dhaka-7,1996,Jatiya Janata Party (Nurul Islam),Md. Majibur Rahman,42,0.02,no
Cox's Bazar-1,2001,Independent,Nurul Absar,42,0.02,no
Dhaka-7,2008,BJP,Md. Munirol Islam Skedar,42,0.02,no
Dhaka-10,1991,Bangladesh People's League (Garib A Nawaz),Jobaida Parvin,43,0.06,no
Chandpur-4,1991,Jatiyatabadi Gonotantrik Chashi Dal,Dewan Sirajul Islam Dadon,43,0.04,no
Noakhali-3,1991,Independent,A. K. M. Aamin Ullah,43,0.08,no
Dhaka-11,1996,Independent,Md. Nurul Amin,43,0.02,no
Noakhali-6,1996,FP,Jamal Uddin,43,0.05,no
Dhaka-5,1996,Jana Dal,Mina Rahman,44,0.02,no
Bagerhat-2,2001,Bangladesh Sarbahara Party,Md. Mosarraf Hossain,44,0.02,no
Munshiganj-1,2001,Independent,Md. Mahbub-Ul-Alam,44,0.03,no
Gopalganj-2,2001,Independent,S. M. Nuru Mia,44,0.02,no
Noakhali-6,2001,Independent,Mohiuddin Ahmed,44,0.04,no
Noakhali-6,2001,Independent,Saifuddin Ahmed,44,0.04,no
Pirojpur-2,1991,Independent,Khan Enayet Karim,45,0.07,no
Rajshahi-2,1996,FP,Md. Abu Masud,45,0.02,no
Satkhira-3,1996,FP,Md. Matiar Rahman,45,0.04,no
Dhaka-7,1996,JSD (Rab),Habibur Rahman Showkat,45,0.02,no
Dhaka-9,1996,Jatiya Janata Party (Asad),Md. Mahabubur Rahman,45,0.02,no
Dhaka-10,1996,Bhasani Front,Mamataz Chowdhury,45,0.03,no
Dhaka-11,1996,Independent,Md. Hemait Uddin,45,0.02,no
Chandpur-2,1996,Independent,Md. Ala Uddin Khan,45,0.04,no
Comilla-9,1996,JSD (Rab),Munshi Faruk Ahmed,45,0.04,no
Dhaka-7,2001,Bangladesh Muslim League,Md. Kudrat Ullah,45,0.02,no
Chittagong-1,2001,Independent,Abu Ahmad Jahirul Amin Khan,45,0.03,no
Dhaka-8,2008,Independent,Abdul Bari,45,0.03,no
Dhaka-9,1991,JSD (Siraj),Zahanara Begum,46,0.05,no
Jhalokati-1,2001,Bangladesh Muslim League,Md. A. Satter Hawlader,46,0.04,no
Dhaka-6,2001,Independent,Sale Mohammad,46,0.02,no
Dhaka-7,2001,Independent,Abu Syed,46,0.02,no
Dhaka-10,2001,Independent,Md. Enamul Karim Suja,46,0.03,no
Noakhali-6,2001,Independent,Md. Shahjahan Bhuiya,46,0.05,no
Chittagong-3,2001,Independent,Jamal Uddin Chowdhury,46,0.04,no
Naogaon-5,1991,NAP (Muzaffar),A. N. M. Mozaharul Haq,47,0.03,no
Mymensingh-4,2001,Bangladesh Krisak Sramik Mukti Andolon (Sadeq),Krishak Md. Sadek,47,0.02,no
Comilla-3,2001,Independent,Kamal Uddin,47,0.02,no
