seat,year,party,name,votes,votes_pc,winner
Narsingdi-4,1996,JaPa,A. Rauf,6454,3.81,no
Tangail-7,2001,Krishak Sramik Janata League,Sadek Ahmed Khan,6457,3.44,no
Satkhira-3,1996,BNP,Ali Ahmed,6459,6.3,no
Thakurgaon-3,1991,NAP (Muzaffar),A. Malek,6461,5.43,no
Faridpur-4,2008,Islami Andolan Bangladesh,Shamsuddin,6468,2.72,no
Lalmonirhat-2,1991,BNP,Abdul Hamid,6474,5.79,no
Chittagong-10,1996,JaPa,Mohammad Alam,6493,3.72,no
Dhaka-11,1991,JaPa,Md. Taiabur Rahman,6504,5.58,no
Narsingdi-1,2008,Islami Andolan Bangladesh,Ashrafur Rahman,6511,2.77,no
Comilla-10,2001,IJOF,Golam Mostafa Kamal,6518,3.51,no
Jessore-4,1991,Independent,M. Nazim Uddin Al Azad,6524,4.06,no
Satkhira-3,1991,Independent,Md. Abul Khaer,6524,6.83,no
Bhola-2,1991,Jamaat,Syed Jamal Uddin Zafri,6546,8.2,no
Lalmonirhat-1,2014,JSD (Rab),Sadekul Islam,6551,3.42,
Brahmanbaria-4,1991,Pragotishil Ganatantrik Sakti,Sultan Shahriar Rashid Khan,6557,5.58,no
Shariatpur-1,2008,BNP,Shahidul Haq Sikder,6558,3.58,no
Khulna-1,2001,IJOF,Sheikh Abul Hossain,6560,4.34,no
Jessore-3,1991,Islami Oikya Jote,Anwarul Karim,6588,3.73,no
Moulvibazar-4,1991,BNP,Saifur Rahman,6594,4.51,no
Dhaka-4,2008,Islami Andolan Bangladesh,Rashid Ahmad Ferdous,6600,4.09,no
Khulna-6,1991,BNP,Moin Uddin Sarkar,6602,4.58,no
Mymensingh-5,1991,JaPa,Md. Isahaq Ali Sarkar,6628,8.15,no
Madaripur-3,2008,Islami Andolan Bangladesh,Syed Belayet Hossain,6642,3.53,no
Tangail-4,1991,BNP,Md. Nurul Alam Tang,6645,4.98,no
Chittagong-6,1991,JaPa,Ziauddin Ahmed Bablu,6655,7.39,no
Kurigram-2,1996,Islami Oikya Jote,Md. Abdul Gani,6670,3.49,no
Dhaka-15,2008,Independent,Abdul Kader,6689,3.22,no
Manikganj-1,1991,Independent,Nurul Amin,6701,6.74,no
Sylhet-3,1996,Jamaat,Abdul Basit,6755,7.43,no
Brahmanbaria-3,2014,JaPa,Mohammad Farid Ahmed,6786,2.41,
Manikganj-3,1991,CPB,Azaharul Islam Aarzu,6797,5.39,no
Noakhali-3,1991,Jamaat,Shamsuddin,6803,13.29,no
Gopalganj-1,2008,Islami Andolan Bangladesh,Md. Ruhul Amin,6810,3.4,no
Noakhali-4,1996,JaPa,Fazle Elahi,6823,5.08,no
Narayanganj-2,1991,Jamaat,Ilias Molla,6830,6.08,no
Sherpur-3,2001,Independent,A. R. M. Shahidul Islam,6841,3.84,no
Kishoreganj-6,1991,Bangladesher Sammyabadi Dal (ML),Yakub Ali,6847,6.54,no
Dinajpur-1,2001,JSD (Rab),Md. Abdul Khaleque Sarkar,6848,3.47,no
Chittagong-16,2014,JP (Manju),AAM Haider Ali Chowdhury,6848,4.43,
Chittagong-12,1991,JaPa,Shahadat Hossain Chowdhury,6861,7.59,no
Magura-1,1991,Jamaat,Abdul Matin,6892,4.58,no
Noakhali-2,1991,JSD (Rab),Mostafizur Rahman,6896,5.31,no
Barisal-6,1991,Islami Oikya Jote,Abdul Matin Miah,6898,6.64,no
Rajshahi-1,1996,JaPa,Rabeya Bhuiyan,6915,3.93,no
Sunamganj-4,1996,Jamaat,Md. Hatimur Rahman,6940,6.36,no
Munshiganj-1,2014,JaPa,Nur Mohammad,6957,3.42,
Tangail-3,2001,Krishak Sramik Janata League,Abdul Kader Siddique,6964,3.61,no
Dhaka-6,1996,Jamaat,Ahmedullah Bhiuyan,6977,3.02,no
Sunamganj-5,1996,Islami Oikya Jote,Mohammad Shafiq Uddin,6981,4.72,no
Jamalpur-2,1996,CPB,Manjurul Ahsan Khan,6992,7.28,no
Sylhet-2,1991,Jatiya Janata Party and Gonotantrik Oikkya Jot,Nurul Islam Khan,7007,7.2,no
Mymensingh-9,2001,IJOF,Md. Abdul Hakim Bhuiya,7018,4.67,no
Sunamganj-5,1991,Independent,Kalim Uddin,7019,5.7,no
Lakshmipur-3,1991,JaPa,Mohammad Ullah,7019,,no
Patuakhali-2,1991,BNP,Syed Ahmad Miah,7050,7.96,no
Dhaka-6,2001,IJOF,Md. Khalequzzaman Chowdhury,7052,2.5,no
Netrokona-2,1991,Independent,S. M. Fazlul Kader,7078,5.95,no
Manikganj-3,2001,IJOF,Helal Uddin Ahmed,7078,3.79,no
Jamalpur-2,1996,Jamaat,Samiul Haque Faruki,7088,7.38,no
Sylhet-3,1991,Independent,Mahmud Us Samad Chowdhury,7095,8.15,no
Bhola-4,1991,Jamaat,Md. Shahjahan MA,7097,9.87,no
Brahmanbaria-2,1991,Independent,Md. Mobarak Hossain,7136,6.12,no
Dhaka-11,1993,JaPa,Belal Ahmed,7149,4.28,no
Khulna-1,1991,JaPa,Binoy Krisna Roy,7161,7.62,no
Dhaka-3,2008,Islami Andolan Bangladesh,Md. Sultan Ahamed Khan,7176,3.73,no
Comilla-11,1991,Jamaat,Md. Salah Uddin,7178,11.73,no
Narail-2,1991,UCL,Bimal Biswas,7222,5.47,no
Gopalganj-3,2001,Islami Oikya Jote,Omar Ahmad Saheb,7223,4.44,no
Sylhet-1,1991,Independent,Md. Nausheran Chowdhury,7224,6.17,no
Cox's Bazar-4,2014,JaPa,Taha Yahiya,7233,6.42,
Comilla-4,1996,Jamaat,Md. Mostofa Hossain Sarkar,7247,5.71,no
Dhaka-6,2014,Independent,Saidur Rahman Sahid,7259,13.5,
Dhaka-2,1991,UCL,Siraj Uddin Ahmed,7284,8.15,no
Panchagarh-2,2014,JaSaD (Inu),Md Emran Al Amin,7292,6.36,
Natore-4,2018,JaPa,MD ALA UDDIN MRIDHA,7304,,
Moulvibazar-2,2001,IJOF,Md. Shawkatul Islam,7312,4.23,no
Manikganj-2,1996,Zaker Party,Md. A. Rahim Khan,7319,5.72,no
Khulna-2,1996,JaPa,Mia Musa Hossain,7333,5.26,no
Gopalganj-2,1991,BKA,Md. Nazrul Islam,7342,5.98,no
Jessore-1,1991,JaPa,Abdul Mannan,7361,7.5,no
Dhaka-5,1996,Jamaat,Md. Asraful Haque,7366,2.64,no
Dhaka-4,1996,Jamaat,Shah Jalal,7368,3.37,no
Sherpur-3,1991,Independent,Abdul Bari,7373,7.32,no
Pirojpur-2,1996,BNP,Nurul Islam Manjur,7385,13.92,no
Narail-1,1996,Jamaat,M. H. Bahauddin,7389,6.66,no
Patuakhali-2,1991,NAP (Muzaffar),Syed Ashraf Hossain,7431,8.4,no
Khulna-3,2008,Islami Andolan Bangladesh,Gaji Nur Ahmad,7435,5.19,no
Khulna-2,1991,Independent,Sk. Abul Kashem,7443,7.96,no
Dinajpur-6,1991,JaPa,Md. Mojibur Rahman,7463,4.87,no
Narail-2,1996,JaPa,Saif Hafizur Rahman,7474,5.26,no
Natore-1,1991,JaPa,Md. Naosher Ali Sarkar,7486,5.44,no
Chittagong-2,1996,Jamaat,Md. Shafiqul Moulah,7488,7.16,no
Mymensingh-5,1991,Jamaat,Sirajul Islam Khan,7494,9.21,no
Madaripur-2,2008,Islami Andolan Bangladesh,Md. Abdul Malek,7496,3.47,no
Barisal-6,2008,Islami Andolan Bangladesh,Rafikul Islam,7505,4.95,no
Bagerhat-1,2008,Islami Andolan Bangladesh,Md. Liakat Ali,7522,3.59,no
Sunamganj-5,1991,Independent,Abul Hasnat Md. Abdul Hai,7530,6.12,no
Mymensingh-11,1991,Independent,Zolhas Uddin Talukdar,7539,8.6,no
Chandpur-4,1991,Jamaat,Habib Ullah,7541,7.18,no
Kurigram-4,1991,Independent,Md. Abul Kashem,7550,10.03,no
Faridpur-4,1996,JaPa,Azaharul Haque,7562,8.03,no
Rangpur-6,1996,Jamaat,Md. Abdus Salam Prodhan,7577,6.5,no
Kushtia-1,1991,Jamaat,Md. Nur Kutubul Alam,7589,5.11,no
Chittagong-2,1996,JaPa,Md. Didarul Kabir,7602,7.27,no
Comilla-11,1991,JaPa,Omar Ahmed Majumder,7608,12.44,no
Faridpur-2,1991,BNP,Abul Hossein Miah,7630,7.86,no
Brahmanbaria-6,1996,JaPa,Nur Mohammad,7637,7.61,no
Gopalganj-2,2008,BNP,Md. Shirajul Islam Shiraj,7643,3.94,no
Magura-1,1991,Zaker Party,A. Haq,7659,5.09,no
Habiganj-1,1996,Islami Oikya Jote,Nizam Uddin,7670,5.55,no
Rangpur-2,1991,Jamaat,Shah Muhammad Nur Hossain,7676,6.94,no
Naogaon-6,1996,Jamaat,Md. Mofazzal Hossain,7678,5.12,no
Pabna-4,2001,IJOF,Panjab Ali Biswas,7683,3.45,no
Patuakhali-2,1991,Islami Oikya Jote,Akter Farooq,7713,8.71,no
Kurigram-2,1996,Jamaat,A.N.M. Solaiman,7719,4.04,no
Gaibandha-4,1991,BNP,Sirajul Islam,7724,6.2,no
Lakshmipur-1,1991,JaPa,Sirajul Islam,7725,12.67,no
Narsingdi-4,1991,Jamaat,A. T. M. Rafiuddin,7726,5.78,no
Sylhet-1,1991,Islami Oikya Jote,Md. Masud Khan,7736,6.61,no
Gopalganj-2,1996,BNP,Sharufzzaman Jahangir,7825,5.87,no
Lakshmipur-4,2014,Independent,Azad Uddin Chowdhury,7828,6.84,
Gazipur-4,2014,JaPa,MM Anowar Hossain,7833,6.4,
Rajshahi-4,1996,Independent,Md. Nazrul Islam,7843,5.22,no
Sylhet-1,1991,JSD (Rab),Sadar Uddin Ahmad,7865,6.72,no
Jessore-2,1991,Independent,Md. Shamsul Haq,7867,4.77,no
Narail-2,2018,BNP,AZM Fariduzzaman,7883,2.79,
Rangpur-3,1996,Jamaat,Mahbubur Rahman Belal,7890,5.21,no
Barguna-1,1996,JaPa,Zafrul Hasan Farhad,7890,6.85,no
Khulna-3,1996,Jamaat,Mia Golam Parwar,7898,6.66,no
Brahmanbaria-1,2014,JaPa,Rejowan Ahmed,7910,10.21,
Jhenaidah-2,1991,JaPa,Ashraful Abedin,7912,4.92,no
Brahmanbaria-4,1996,Jamaat,Kazi Nazrul Islam Khadem,7913,5.98,no
Naogaon-3,1996,Jamaat,Md. Abul Kalam Azad,7914,3.89,no
Narsingdi-1,1996,Jamaat,Sayed Kamal Uddin Jafan,7968,5.44,no
Naogaon-3,1996,JaPa,Tayeb Uddin Ahmed,7973,3.92,no
Brahmanbaria-6,1991,Independent,Md. Habibar Rahman,7980,8.04,no
Kurigram-4,1996,Independent,Azizur Rahman,7985,7.56,no
Tangail-1,1991,Jamaat,Mujibur Rahman,7989,8.2,no
Natore-3,1996,Independent,Yakub Ali,8005,6.61,no
Tangail-2,2014,JaPa,Azizur Rahman Tarafdar,8017,5.39,
Chuadanga-2,2014,Workers Party,Sirazul Islam Sheikh,8030,6.35,
Mymensingh-6,1991,Independent,ANM Nazrul Islam,8040,9.64,no
Kishoreganj-5,1996,JaPa,Ershad Uddin Ahmed Khan Milki,8045,5.5,no
Khulna-1,1996,JaPa,Binoy Krisna Roy,8048,6.91,no
Cox's Bazar-4,1996,Islami Oikya Jote,Shah Abul Monzur,8048,7.97,no
Narayanganj-2,1991,Zaker Party,Md. Zakir Hossein,8056,7.17,no
Joypurhat-1,2001,IJOF,Abul Kalam Azad,8074,3.22,no
Thakurgaon-3,1996,Jamaat,Mizanur Rahman,8081,6.33,no
Dinajpur-4,2001,IJOF,Md. Sekender Ali Shah,8094,3.91,no
Jamalpur-1,1996,Independent,Md. Mahabubul Haque Chish,8157,6.16,no
Comilla-5,2014,JaPa,Safikur Rahman,8157,3.79,
Netrokona-4,1996,JaPa,Md. Sirazul Islam Bachchu,8160,5.89,no
Feni-1,1991,Jamaat,Md. Yunus,8163,8.67,no
Gopalganj-2,2001,BNP,Sheikh Saifur Rahman Nantu,8164,4.13,no
Sylhet-4,2001,IJOF,Kazi Kamal Ahmad,8171,5.93,no
Dhaka-11,1991,Jamaat,A. Gaffar,8191,7.03,no
Shariatpur-2,1996,JaPa,Zakir Hossain Munshi,8191,9.95,no
Dinajpur-1,1991,JaPa,Md. Anisul Haq,8203,7.05,no
Pirojpur-2,2008,Islami Andolan Bangladesh,Md. Abul Kalam Azad,8209,4.18,no
Rangpur-1,2008,Independent,Anwarul Islam,8210,3.94,no
Lakshmipur-3,1996,JaPa,Mohammad Ullah,8226,,no
Brahmanbaria-2,1996,Independent,Md. Jahangir,8236,5.81,no
Magura-2,2001,IJOF,Md. Rokunuzzaman Khan,8239,3.89,no
Jessore-3,1996,Islami Oikya Jote,Md. Abdul Jalil,8257,3.54,no
Chandpur-2,2008,Independent,Jalal Uddin,8258,3.7,no
Rangpur-2,1996,Jamaat,ATM Azharul Islam,8273,5.9,no
Dhaka-12,1991,Independent,Ashraf Uddin Khan Imu,8279,6.8,no
Mymensingh-6,2014,JSD (Rab),Abdur Rahman,8294,4.81,
Sylhet-3,1991,Jamaat,Abdul Basit,8296,9.53,no
Gazipur-3,1991,JaPa,Majnu,8298,8.07,no
Nilphamari-1,1991,Independent,Hamida Banu Shova,8306,6.44,no
Cox's Bazar-3,2001,AL,Mostaq Ahmad Chowdhury,8312,6.71,no
Patuakhali-4,1991,JaPa,Abdul Razzak Khan,8331,10.76,no
Narsingdi-2,2008,Islami Andolan Bangladesh,Mohashin Ahamed,8345,4.56,no
Barisal-2,2001,Workers Party,Rashed Khan Menon,8353,5.27,no
Thakurgaon-3,2001,BNP,Jahidur Rahman,8359,4.68,no
Sunamganj-1,1991,Jamaat,Muslem Uddin,8371,7,no
Lalmonirhat-1,1996,BNP,Hasanuzzaman Hasan,8384,6.04,no
Narsingdi-5,1991,Independent,Asadul Haq Khasru,8390,5.18,no
Comilla-8,1991,Jamaat,Jashim Uddin Sarkar,8392,8.64,no
Chittagong-9,1991,Jamaat,Afsar Uddin Chowdhury,8392,7.62,no
Chandpur-4,1996,JaPa,Saleh Ahmed,8401,6.56,no
Feni-3,1996,Jamaat,A. B. M. Samsuddin,8403,7.49,no
Pirojpur-1,2008,JaPa,Mostafa Jamal Haider,8406,4.04,no
Jhenaidah-2,1996,JaPa,Md. Mosharraf Hossain Mosa,8411,4.1,no
Khulna-2,1996,Jamaat,Md. Ansar Uddin,8426,6.05,no
Khulna-4,1996,Islami Oikya Jote,Shakhawat Hossain,8448,5.69,no
Bagerhat-2,1996,JaPa,Sheikh Atiar Rahman,8450,5.78,no
Munshiganj-2,2014,Independent,Mahbub Uddin Ahmed,8461,6.09,
Bagerhat-1,1996,Jamaat,Md. Ahad Ali,8463,5.62,no
Naogaon-6,1996,JaPa,Sree Bethindranath Shaha,8467,5.64,no
Feni-1,1996,Jamaat,Md. Yunus,8480,7.24,no
Sylhet-2,1991,BNP,MA Haq,8493,8.73,no
Patuakhali-4,1996,Islami Oikya Jote,Md. Baharul Alam,8494,9.49,no
Manikganj-2,1991,Oikkya Prakriyya,Ali Ahmed Zia Uddin,8507,7.03,no
Chittagong-4,1996,Jamaat,Jahangir Chowdhury,8529,6.18,no
Sherpur-3,2014,Independent,Hedayetul Islam,8548,8.16,
Gazipur-4,1991,Zaker Party,Abdul Kabir,8549,8.16,no
Chittagong-2,1991,Jamaat,Md. Shafiqul Moulah,8549,10.63,no
Bhola-2,2014,JP (Manju),Md. Salah Uddin,8561,5.18,
Lakshmipur-4,1996,Jamaat,Redowan Ullah Shahidi,8575,8.96,no
Mymensingh-6,1996,JaPa,K. R. Islam,8583,7.96,no
Bogra-4,1991,JaPa,Mamdudur Rahman Chowdhury,8597,7.15,no
Bhola-2,1991,BNP,Md. Shahidul Haq Chowdhury,8670,10.86,no
Nilphamari-3,1996,BNP,Anwarul Kabir Chowdhury,8702,7.26,no
Lalmonirhat-2,1991,Jamaat,Md. Abdul Wares,8715,7.8,no
Dhaka-9,1996,JaPa,Kazi Firoj Rashid,8738,4.6,no
Barisal-4,1991,BAKSAL,Md. Shahjahan Khan,8783,12.01,no
Khulna-4,2008,Islami Andolan Bangladesh,Younus Ahammed Sheikh,8837,4.1,no
Lakshmipur-1,1996,Jamaat,Lutfor Rahman,8843,13.59,no
Brahmanbaria-5,2001,IJOF,Md. Zeaul Haq Sarkar,8847,5.1,no
Sunamganj-3,1996,Jamiat Ulema-e-Islam Bangladesh,Shahinur Pasha Chowdhury,8851,8.19,no
Narsingdi-4,2001,Independent,Khairul Majid Mahmud Chandan,8870,4.31,no
Kushtia-1,1991,JSD (Rab),Kazi Aref Ahmed,8919,6.01,no
Tangail-5,1991,JSD (Siraj),Md. Motiur Rahman Khan,8920,4.63,no
Chittagong-12,1996,JaPa,Ukil Shahadat Hossain Chowdhury,8926,8,no
Narsingdi-1,1991,JaPa,Mostafa Zamal,8928,6.5,no
Dhaka-11,1996,Jamaat,Khandakar A. Mannan,8946,3.31,no
Sylhet-5,2008,Jamiat Ulema-e-Islam Bangladesh,Ubydullah Faruk,8946,4.46,no
Noakhali-3,1991,Bangladesh Samajtantrik Dal (Mahbub),A. F. M. Mahbubul Haque,8948,17.48,no
Moulvibazar-1,1996,Jamaat,Abdul Malik,8958,10.7,no
Rajbari-1,2008,Zaker Party,Md. Ali Zakir Shomsheri Dablu Molla,8964,3.79,no
Habiganj-1,1991,Independent,Md. Abdul Aziz Chowdhury,8975,8.36,no
Jessore-6,1991,BNP,Shamsul Arefin Khan,8977,10.86,no
Rajshahi-1,2024,Independent,Mahiya Mahi,9009,,
Rajshahi-4,2001,IJOF,Abdul Wahed,9032,4.62,no
Satkhira-1,2001,IJOF,G. M. Abdul Ali,9032,3.32,no
Barguna-2,1991,NDP,Syed Rahmatur Rob Irtiza Ahsan,9043,13.1,no
Noakhali-1,1991,Independent,Zafar Ahmed,9058,13.52,no
Thakurgaon-3,1996,BNP,Abdul Malek,9060,7.1,no
Rangpur-6,1996,BNP,Md. Matiur Rahman Chowdhury,9067,7.78,no
Sylhet-6,1996,Islami Oikya Jote,Mohammad Habibur Rahman,9071,5.96,no
Pabna-5,1991,UCL,Md. Aminul Haq,9073,5.68,no
Madaripur-1,1991,Zaker Party,Reza Shahjahan,9075,8.72,no
Bhola-3,2014,JaPa,AKM Nazrul Islam Mia,9076,5.02,
Khulna-3,1991,Jamaat,AKM Yusuf,9100,9.44,no
Bhola-4,1991,BNP,A. K. F. Aminul Ekram,9110,12.67,no
Gaibandha-3,1996,BNP,Shah Badrul Islam,9121,5.18,no
Kurigram-2,1991,BNP,Md. Abdus Salam,9176,6.57,no
Pirojpur-3,1991,BNP,Krishibid M A Samad,9214,12.47,no
Shariatpur-1,1991,Jamaat,Khalilur Rahman,9225,8.02,no
Brahmanbaria-2,2001,Independent,Kutub Uddin Chowdhury,9240,5.16,no
Jhenaidah-1,2008,Independent,Saidur Rahman,9243,4.5,no
Dhaka-5,2008,Islami Andolan Bangladesh,ATM Hemayet Uddin,9247,3.26,no
Noakhali-2,1991,JaPa,Golam Sarwar,9254,7.12,no
Dinajpur-4,1991,JaPa,Md. Sakhawat Hossain,9280,7.49,no
Chittagong-15,1991,BNP,Abu Saleh Chowdhury,9308,10.08,no
Dinajpur-2,1991,BNP,Md. Abdul Momen Chowdhury,9316,7.52,no
Madaripur-3,1996,Jamaat,Farid Uddin Khan,9317,7.6,no
Barisal-3,2001,IJOF,Syed Badrul Hossain,9317,7.25,no
Lakshmipur-1,1996,JaPa,Monir Ahmed,9345,14.36,no
Naogaon-4,2008,AL,SM Abdul Latif,9427,4.3,no
Mymensingh-8,1991,Independent,Md. Reza-e-Karim,9453,12.81,no
Kurigram-3,2008,Islami Andolan Bangladesh,Md. Razaul Karim,9455,3.79,no
Sherpur-3,1991,Islami Oikya Jote,Md. Abdus Sattar,9456,9.39,no
Sunamganj-5,1991,BNP,Zoinul Karim,9467,7.69,no
Sunamganj-5,2001,IJOF,Abdul Mazid,9523,4.57,no
Chittagong-9,2008,Independent,M. Monjur Alam,9535,3.38,no
Barisal-4,1996,Jamaat,Mahmud Al Mamun,9577,10.19,no
Sherpur-3,1991,JaPa,Shah Md. Mostain Billah,9583,9.52,no
Bhola-4,2001,Independent,Jafar Ullah Chowdhury,9648,6.15,no
Moulvibazar-1,2014,JaPa,Ahmed Riyaj Uddin,9649,8.49,
Gopalganj-2,1991,BNP,Fazle Elahi Suruzzaman Miah,9661,7.87,no
Sirajganj-5,1991,Bangladesh Muslim League,M. A. Matin,9678,8.4,no
Natore-2,1991,Independent,Khandakar Zubair Hossain,9683,7.19,no
Lalmonirhat-2,2008,Islami Andolan Bangladesh,Md. Ebrahim Hossain Khan,9692,4.16,no
Madaripur-1,1991,BNP,Mojibur Rahman Khan,9744,9.36,no
Brahmanbaria-5,1991,BNP,Hamidul Haq,9749,6.73,no
Sunamganj-4,2008,Independent,Dewan Shamsul Abedin,9764,4.94,no
Habiganj-2,1991,Jamaat,Fazlul Karim,9769,9.18,no
Meherpur-2,1991,UCL,Jalal Uddin,9770,10.34,no
Lakshmipur-1,1991,JSD (Rab),Md. Shafiqul Islam,9783,16.05,no
Gaibandha-5,2001,BNP,Rostam Ali Molla,9797,5.42,no
Khulna-2,1991,Jamaat,Shamsur Rahman,9856,10.54,no
Sunamganj-5,1991,Independent,Abdur Rahim,9864,8.02,no
Madaripur-2,1991,JaPa,Sirajul Islam Bhuiyan,9869,7.45,no
Mymensingh-1,1991,JSD (Rab),Md. Ali Azgar,9878,13.29,no
Comilla-6,1991,FP,Khandaker Abdul Mannan,9894,12.93,no
Bagerhat-1,1996,Islami Oikya Jote,Moulana Siddiqur Rahman,9912,6.58,no
Cox's Bazar-3,1991,NDP,Shahjahan Chowdhury,9913,9.32,no
Patuakhali-3,1991,Jamaat,Ashraf Ali Khan,9950,10.48,no
Naogaon-4,2014,JP (Manju),Saidur Rahman,9965,13.12,
Gopalganj-1,2008,BNP,Md. Salimuzzaman Molla,9986,4.99,no
Meherpur-2,1996,FP,Bazlul Huda,9987,8.32,no
Barisal-4,1991,JaPa,Maidul Islam,9995,13.67,no
Natore-4,2001,IJOF,Abu Ahsan,10006,4.31,no
Comilla-9,1991,BNP,Rabeya Khatun Chowdhury,10017,11.01,no
Comilla-5,1996,Jamaat,Abdur Rouf,10038,7.64,no
Sunamganj-5,1996,Jamaat,Abdullah Md. Saleh,10067,6.81,no
Gaibandha-5,1996,Jamaat,Md. Salim Uddin Bepary,10077,7.51,no
Noakhali-3,1991,CPB,Nurul Islam,10082,19.7,no
Faridpur-3,1996,Zaker Party,A.H.M. Nazmul Huda,10086,6.54,no
Rangpur-6,1991,Jamaat,Abdus Salam Prodhan,10095,11,no
Dhaka-6,1991,Jamaat,Abbas Ali Khan,10104,9.26,no
Bogra-7,2014,JP (Manju),ATM Aminul Islam,10104,36.11,
Gaibandha-1,1991,Jatiya Janata Party and Gonotantrik Oikkya Jot,Md. Syed Abul Hossain Khwaza,10128,9.67,no
Nilphamari-1,1991,Independent,Shafikul Ghaani Shawpan,10159,7.87,no
Jhalokati-2,2001,IJOF,Syed Md. Anowar Hossain,10164,6.46,no
Kurigram-4,1991,BNP,Azizur Rahman,10169,13.51,no
Bogra-6,1996,JaPa,A. H. Golam Zakaria Khan,10185,4.39,no
Chittagong-12,2014,JaPa,Sirajul Islam Chowdhury,10197,7.37,
Narayanganj-4,2008,Islami Andolan Bangladesh,Mohammad Shafiqul Islam,10200,3.51,no
Manikganj-1,1991,JaPa,Afzal Hossain,10214,10.27,no
Brahmanbaria-1,2001,IJOF,Rejowan Ahmed,10239,8.18,no
Patuakhali-4,2001,IJOF,Abdur Razzak Khan,10279,7.68,no
Chandpur-2,1996,JaPa,A. B. Moin Uddin Hossain,10281,9.16,no
Sunamganj-3,1991,BNP,Anisul Bari Chowdhury,10285,11.94,no
Patuakhali-2,2008,Islami Andolan Bangladesh,Abu Zafor Ahamdullah,10287,5.73,no
Khulna-3,2001,IJOF,Md. Mokhter Husain,10305,7.44,no
Khulna-4,1991,Islami Oikya Jote,Shakhawat Hossain,10316,8.62,no
Patuakhali-1,1996,Islami Oikya Jote,Md. A. Goni,10328,7.64,no
Rajbari-1,1991,Jamaat,Nurul Islam,10345,8.92,no
Jessore-4,2001,IJOF,Md. Nazmul Huda,10381,4.32,no
Mymensingh-11,2014,Independent,Md. Shahadat Islam Chowdhury,10406,10.18,
Sylhet-6,1991,BNP,Nazrul Islam Mayur,10407,8.27,no
Barisal-4,1996,JaPa,A. Zabber Talukdar,10414,11.08,no
Sylhet-5,1996,Islami Oikya Jote,Obaidul Haque,10425,8.92,no
Barisal-1,1991,Jamaat,Sarder Abdus Salam,10430,8.91,no
Khulna-4,1996,JaPa,Mollah Momin Uddin Ahmmed,10485,7.06,no
Narayanganj-4,2001,IJOF,Md. Atiqur Rahman Nannu Munshi,10494,4.1,no
Kurigram-3,1996,Independent,M. Kafil Uddin,10535,10.03,no
Magura-2,1996,Jamaat,Golam Akbar,10575,6.57,no
Barisal-2,1991,Jamaat,Bazlur Rashid,10577,9.62,no
Sylhet-4,1996,JaPa,Md. Siraj Uddin,10578,11.38,no
Chittagong-1,1991,Jamaat,Shamsuddin,10605,8.3,no
Tangail-7,1991,JaPa,Shah Mostanjidul Haq,10633,8.97,no
Magura-2,2008,Islami Andolan Bangladesh,Mostafa Kamal,10665,4.52,no
Rajshahi-2,2001,IJOF,Mostaq Ahmed,10676,3.61,no
Dinajpur-4,1996,JaPa,Mirza Samsul Wazed,10700,7.37,no
Jessore-5,2001,IJOF,Quamruzzaman,10718,5.07,no
Chittagong-9,1996,Jamaat,Afsar Uddin Chowdhury,10724,5.27,no
Dhaka-5,1991,Independent,Mohammad Siraj Uddin Ahmed,10725,7.75,no
Pabna-3,1996,JaPa,Sayed Md. Abdur Rahim,10752,5.78,no
Habiganj-3,1996,Bangladesh Jatiyatabadi Awami League (Mostofa Allama),Syed Md. Kaisar,10773,8.33,no
Chuadanga-2,1991,JaPa,Habibur Rahman Hobby,10788,7.95,no
Jessore-6,2001,Jamaat,Gazi Enamul Haq,10790,8.45,no
Patuakhali-4,1996,JaPa,Abdul Razzak Khan,10844,12.12,no
Joypurhat-1,1991,Jatiya Oikkya Front,Abdul Alim,10907,7.01,no
Kurigram-4,1991,AL,Md. Azizul Haq,10915,14.5,no
Brahmanbaria-5,2014,JaPa,Md. Mamunur Rashid,10935,7.24,
Bogra-2,1991,AL,Md. Rafiqul Islam Fakir,10958,10.96,no
Pirojpur-3,1991,Independent,Nur Mohammed Akon,10958,14.82,no
Noakhali-4,1996,Jamaat,Borhan Uddin,10972,8.17,no
Brahmanbaria-4,1991,Jamaat,Kazi Nazrul Islam Khadem,10997,9.36,no
Kushtia-4,1996,JaPa,Syed Amjad Ali,10997,6.44,no
Barguna-2,1991,Independent,Golam Sarwar,11001,15.93,no
Mymensingh-6,2001,IJOF,K. R. Islam,11012,6.45,no
Lakshmipur-4,1991,AL,M. Sirazul Islam,11069,14.15,no
Dhaka-10,1996,JaPa,Ismail Hossain Bangal,11114,7.07,no
Gopalganj-1,1991,BNP,Khairul Baki Mian,11136,9.15,no
Chuadanga-2,1996,JaPa,Habibur Rahman Hobby,11187,5.76,no
Moulvibazar-1,1991,BNP,Asad Uddin,11230,15.37,no
Lakshmipur-1,1991,Jamaat,Lutfar Rahman,11248,18.45,no
Sunamganj-5,1996,Samridhya Bangladesh Andolan,Abdul Mazid,11248,7.61,no
Khulna-1,1996,Independent,Md. Ismail Hossain,11250,9.66,no
Chandpur-3,1991,JaPa,Harunur Rashid Khan,11253,13,no
Narail-2,2008,Bangladesh Khelafat Majlish,Imarnuzzaman,11253,5.37,no
Jamalpur-3,2001,BNP,Shafiqul Islam Khoka,11274,4.61,no
Panchagarh-1,1991,JaPa,Abdul Kuddus,11344,9.17,no
