filename,name_bn,zillaID,constituencyID,income,tax,wealth,party,final,symbol,district
"44,134,মোঃ মোজাম্মেল হক.txt",মোঃ মোজাম্মেল হক,44,134,,342349.0,62307732.0,JaPa,True,লাঙ্গল,Tangail
"45,141,মোঃ ফরিদুল কবীর তালুকদার.txt",মোঃ ফরিদুল কবীর তালুকদার,45,141,1532649.0,141530.0,15135563.0,BNP,True,ধানের শীষ,Jamalpur
"46,143,মোঃ মাহমুদুল হক মনি.txt",মোঃ মাহমুদুল হক মনি,46,143,,187500.0,22158270.0,JaPa,True,লাঙ্গল,Sherpur
"47,153,লুৎফুল্লাহেল মাজেদ.txt",লুৎফুল্লাহেল মাজেদ,47,153,42847698.0,6724191.0,219432069.0,BNP,True,ধানের শীষ,Mymensingh
"48,158,মোঃ আনোয়ারুল হক.txt",মোঃ আনোয়ারুল হক,48,158,3454331.0,621083.0,22980634.0,BNP,True,ধানের শীষ,Netrokona
"49,167,মোঃ শরীফুল আলম.txt",মোঃ শরীফুল আলম,49,167,6790294.0,1928572.0,73525384.0,BNP,True,ধানের শীষ,Kishoreganj
"50,170,আফরোজা খানম.txt",আফরোজা খানম,50,170,,,282495205.0,BNP,True,ধানের শীষ,Manikganj
"51,171,মোঃ  আব্দুল্লাহ্.txt",মোঃ  আব্দুল্লাহ্,51,171,22460185.0,8193972.0,425111112.0,BNP,True,ধানের শীষ,Munshiganj
"52,194,মোঃ মজিবুর রহমান.txt",মোঃ মজিবুর রহমান,52,194,4751073.0,1278969.0,249498772.0,BNP,True,ধানের শীষ,Gazipur
"53,201,মোঃ আরিফ-উল-ইসলাম মৃধা.txt",মোঃ আরিফ-উল-ইসলাম মৃধা,53,201,410000.0,3000.0,1982650.0,Independent,True,হাঁস,Narsingdi
"54,206,আজহারুল ইসলাম মান্নান.txt",আজহারুল ইসলাম মান্নান,54,206,3012057.0,823727.0,146817111.0,BNP,True,ধানের শীষ,Narayanganj
"55,180,হামিদুর রহমান.txt",হামিদুর রহমান,55,180,4206236.0,909558.0,76648651.0,BNP,True,ধানের শীষ,Dhaka
"56,216,কে এম বাবর.txt",কে এম বাবর,56,216,1188509.0,60121.0,4973111.0,BNP,True,ধানের শীষ,Gopalganj
"57,218,কামাল জামান মোল্লা.txt",কামাল জামান মোল্লা,57,218,404652.0,,68956327.0,Independent,True,জাহাজ,Madaripur
"59,210,মোঃ হারুন-অর-রশিদ.txt",মোঃ হারুন-অর-রশিদ,59,210,450000.0,5000.0,12559815.0,BNP,True,ধানের শীষ,Rajbari
"60,211,মোহাম্মদ আরিফুর রহমান.txt",মোহাম্মদ আরিফুর রহমান,60,211,1175821.0,103732.0,89504243.0,Independent,True,জাহাজ,Faridpur
"61,226,মোঃ আনোয়ার হোসেন.txt",মোঃ আনোয়ার হোসেন,61,226,2665571.0,326783.0,109062517.0,Independent,True,তালা,Sunamganj
"62,229,খন্দকার আবদুল মুক্তাদীর.txt",খন্দকার আবদুল মুক্তাদীর,62,229,3421922.0,735731.0,113293784.0,BNP,True,ধানের শীষ,Sylhet
"63,235,নাসির উদ্দিন আহমেদ.txt",নাসির উদ্দিন আহমেদ,63,235,11772466.0,846638.0,65509496.0,BNP,True,ধানের শীষ,Moulvibazar
"64,239,রেজা কিবরিয়া.txt",রেজা কিবরিয়া,64,239,5958500.0,16335.0,75130837.0,BNP,True,ধানের শীষ,Habiganj
